id,company,code,kind,date_report,date_posted,date_source,dart_name,match,gi,sem,week,doc_kind,team,filename,orig_filename,bytes,status,post_url,pdf_url
4985,빙그레,005180,Equity Research,2009-04-04,2013-09-18,filename,빙그레,exact,,,,,,빙그레_005180_Equity Research_2009-04-04.pdf,090404_빙그레_1팀.pdf,1713306,ok,http://snusmic.com/equity-research-%eb%b9%99%ea%b7%b8%eb%a0%88/,http://snusmic.com/wp-content/uploads/2020/11/090404_빙그레_1팀.pdf
4982,대한통운,000120,Equity Research,2008-11-20,2013-09-18,filename,CJ대한통운,exact,,,,,,대한통운_000120_Equity Research_2008-11-20.pdf,081120_대한통운_5팀.pdf,2543450,ok,http://snusmic.com/equity-research-%eb%8c%80%ed%95%9c%ed%86%b5%ec%9a%b4/,http://snusmic.com/wp-content/uploads/2020/11/081120_대한통운_5팀.pdf
4979,영원무역,111770,Equity Research,2008-11-14,2013-09-18,filename,영원무역,exact,,,,,,영원무역_111770_Equity Research_2008-11-14.pdf,081114_영원무역_5팀.pdf,1075474,ok,http://snusmic.com/equity-research-%ec%98%81%ec%9b%90%eb%ac%b4%ec%97%ad/,http://snusmic.com/wp-content/uploads/2020/11/081114_영원무역_5팀.pdf
4976,LS산전,NA,Equity Research,2008-11-14,2013-09-18,filename,,none,,,,,,LS산전_NA_Equity Research_2008-11-14.pdf,081114_LS산전_4팀.pdf,797485,ok,http://snusmic.com/equity-research-ls%ec%82%b0%ec%a0%84/,http://snusmic.com/wp-content/uploads/2020/11/081114_LS산전_4팀.pdf
4973,하이록코리아,013030,Equity Research,2008-11-15,2013-09-18,filename,하이록코리아,exact,,,,,,하이록코리아_013030_Equity Research_2008-11-15.pdf,081115_하이록코리아_3팀.pdf,775293,ok,http://snusmic.com/equity-research-%ed%95%98%ec%9d%b4%eb%a1%9d%ec%bd%94%eb%a6%ac%ec%95%84/,http://snusmic.com/wp-content/uploads/2020/11/081115_하이록코리아_3팀.pdf
4970,리노공업,058470,Equity Research,2008-11-15,2013-09-18,filename,리노공업,exact,,,,,,리노공업_058470_Equity Research_2008-11-15.pdf,081115_리노공업_2팀.pdf,847679,ok,http://snusmic.com/equity-research-%eb%a6%ac%eb%85%b8%ea%b3%b5%ec%97%85/,http://snusmic.com/wp-content/uploads/2020/11/081115_리노공업_2팀.pdf
4967,알에프세미,096610,Equity Research,2008-11-15,2013-09-18,filename,알에프세미,exact,,,,,,알에프세미_096610_Equity Research_2008-11-15.pdf,081115_알에프세미_1팀.pdf,865251,ok,http://snusmic.com/equity-research-%ec%95%8c%ec%97%90%ed%94%84%ec%84%b8%eb%af%b8/,http://snusmic.com/wp-content/uploads/2020/11/081115_알에프세미_1팀.pdf
4964,롯데쇼핑,023530,Equity Research,2008-11-07,2013-09-18,filename,롯데쇼핑,exact,,,,,,롯데쇼핑_023530_Equity Research_2008-11-07.pdf,081107_롯데쇼핑_5팀.pdf,3032425,ok,http://snusmic.com/equity-research-%eb%a1%af%eb%8d%b0%ec%87%bc%ed%95%91/,http://snusmic.com/wp-content/uploads/2020/11/081107_롯데쇼핑_5팀.pdf
4961,S-Oil,010950,Equity Research,2008-11-07,2013-09-18,filename,S-Oil,exact,,,,,,S-Oil_010950_Equity Research_2008-11-07.pdf,081107_SOil_4팀.pdf,1113843,ok,http://snusmic.com/equity-research-s-oil-2/,http://snusmic.com/wp-content/uploads/2020/11/081107_SOil_4팀.pdf
4958,인터넷 전화의 등장과 KT,NA,Industry Report,2008-11-07,2013-09-18,filename,,non-company,,,,,,인터넷 전화의 등장과 KT_NA_Industry Report_2008-11-07.pdf,081107_인터넷전화의등장과KT_3팀.pdf,995618,ok,http://snusmic.com/industry-report-%ec%9d%b8%ed%84%b0%eb%84%b7-%ec%a0%84%ed%99%94%ec%9d%98-%eb%93%b1%ec%9e%a5%ea%b3%bc-kt/,http://snusmic.com/wp-content/uploads/2020/11/081107_인터넷전화의등장과KT_3팀.pdf
4955,에스원,012750,Equity Research,2008-11-06,2013-09-18,filename,에스원,exact,,,,,,에스원_012750_Equity Research_2013-09-18_4955.pdf,081106_에스원_2팀.pdf,797237,ok,http://snusmic.com/equity-research-%ec%97%90%ec%8a%a4%ec%9b%90/,http://snusmic.com/wp-content/uploads/2020/11/081106_에스원_2팀.pdf
4952,오뚜기,007310,Equity Research,2008-11-08,2013-09-18,filename,오뚜기,exact,,,,,,오뚜기_007310_Equity Research_2008-11-08.pdf,081108_오뚜기_1팀.pdf,963538,ok,http://snusmic.com/equity-research-%ec%98%a4%eb%9a%9c%ea%b8%b0-2/,http://snusmic.com/wp-content/uploads/2020/11/081108_오뚜기_1팀.pdf
