idx,date,code,company,title,target,opinion,analyst,broker
633753,2024-08-13,259960,크래프톤,잘 나올 거라고 예상했지만 더 잘 나왔다 크래프톤(259960) 잘 나올 거라고 예상했지만 더 잘 나왔다 잘 나올 거라고 예상했지만 더 잘 나왔다,450000,Buy,윤예지,iM증권
633752,2024-08-09,251270,넷마블,나혼렙을 이을 자 누구인가 넷마블(251270) 나혼렙을 이을 자 누구인가 나혼렙을 이을 자 누구인가,66000,Hold,정의훈,유진투자증권
633751,2024-08-09,272450,진에어,과도한 우려 진에어(272450) 과도한 우려 과도한 우려,17000,Buy,양승윤,유진투자증권
633750,2024-08-09,337930,브랜드엑스코퍼레이션,2Q24 Review: 국내만 이 정도 서프 브랜드엑스코퍼레이션(337930) 2Q24 Review: 국내만 이 정도 서프 2Q24 Review: 국내만 이 정도 서프,14000,Buy,이해니,유진투자증권
633749,2024-08-08,293490,카카오게임즈,21년 이후 가장 부진한 모바일 성적 카카오게임즈(293490) 21년 이후 가장 부진한 모바일 성적 21년 이후 가장 부진한 모바일 성적,17000,Hold,정의훈,유진투자증권
633748,2024-08-09,071320,지역난방공사,제도 정상화로 적자 축소 지역난방공사(071320) 제도 정상화로 적자 축소 제도 정상화로 적자 축소,78000,Strong Buy,황성현,유진투자증권
633747,2024-08-09,214150,클래시스,2Q24 Review: 역대 분기 최대 실적 달성 클래시스(214150) 2Q24 Review: 역대 분기 최대 실적 달성 2Q24 Review: 역대 분기 최대 실적 달성,60000,Buy,박종선,유진투자증권
633746,2024-08-09,251270,넷마블,나혼렙을 이을 자 누구인가 넷마블(251270) 나혼렙을 이을 자 누구인가 나혼렙을 이을 자 누구인가,66000,Hold,정의훈,유진투자증권
633740,2024-08-12,367000,플래티어,"이커머스, 데브옵스, 마테크 솔루션 공급사 플래티어(367000) 이커머스, 데브옵스, 마테크 솔루션 공급사 이커머스, 데브옵스, 마테크 솔루션 공급사",0,투자의견없음,"김경민,이나연",한국IR협의회
633739,2024-08-12,158430,아톤,핀테크계의 스마트한 강소 기업 아톤(158430) 핀테크계의 스마트한 강소 기업 핀테크계의 스마트한 강소 기업,0,투자의견없음,"백종석,박서연",한국IR협의회
633736,2024-08-12,161890,한국콜마,2Q24 Review: 꽃길 예고된 하반기 한국콜마(161890) 2Q24 Review: 꽃길 예고된 하반기 2Q24 Review: 꽃길 예고된 하반기,85000,Buy,김혜미,상상인증권
633735,2024-08-12,035420,NAVER,광고/커머스 성장 스토리 유효 NAVER(035420) 광고/커머스 성장 스토리 유효 광고/커머스 성장 스토리 유효,250000,N/A,최승호,상상인증권
633732,2024-08-12,036460,한국가스공사,한 걸음 성큼 한국가스공사(036460) 한 걸음 성큼 한 걸음 성큼,57000,Buy,"송유림,이다연",한화투자증권
