idx,date,code,company,title,target,opinion,analyst,broker,price_at,price_h,ret_6m,mkt_ret_6m,excess_6m,target_acc,target_hit,upside_at_pub,acc180,acc180,acc365
646157,2026-01-29,000270,기아,밸류에이션 정상화의 서막 기아(000270) 밸류에이션 정상화의 서막 밸류에이션 정상화의 서막,190000,Buy,이병근,LS증권,154900.0,121800.0,-0.2137,0.1537,-0.3674,0.6411,0,0.2266,0.6411,0.6411,
646156,2026-01-29,012330,현대모비스,로봇이 여는 밸류에이션 상단 현대모비스(012330) 로봇이 여는 밸류에이션 상단 로봇이 여는 밸류에이션 상단,580000,Buy,이병근,LS증권,457000.0,440000.0,-0.0372,0.1537,-0.1909,0.7586,0,0.2691,0.7586,0.7586,
646155,2026-01-29,011200,HMM,4Q25 Preview: 월동 준비 HMM(011200) 4Q25 Preview: 월동 준비 4Q25 Preview: 월동 준비,22000,Hold,이재혁,LS증권,20400.0,20000.0,-0.0196,0.1537,-0.1733,0.9091,0,0.0784,0.9091,0.9091,
646154,2026-01-29,054950,제이브이엠,"4Q25 아쉽지만, 2026년 수출 레벨업 기대 제이브이엠(054950) 4Q25 아쉽지만, 2026년 수출 레벨업 기대 4Q25 아쉽지만, 2026년 수출 레벨업 기대",33000,Buy,조은애,LS증권,25400.0,21450.0,-0.1555,0.1537,-0.3092,0.65,0,0.2992,0.65,0.65,
646146,2026-01-28,064400,LG씨엔에스,로봇이 이끌어갈 미래 성장 LG씨엔에스(064400) 로봇이 이끌어갈 미래 성장 로봇이 이끌어갈 미래 성장,93000,Buy,이창영,유안타증권,69200.0,67000.0,-0.0318,0.3065,-0.3383,0.7204,0,0.3439,0.7204,0.7204,
646142,2026-01-28,007810,코리아써키트,"이미 오른 것이 아니라, 이제 올라선 것 코리아써키트(007810) 이미 오른 것이 아니라, 이제 올라선 것 이미 오른 것이 아니라, 이제 올라선 것",82000,Buy,양승수,메리츠증권,68000.0,56600.0,-0.1676,0.3065,-0.4742,0.6902,0,0.2059,0.6902,0.6902,
646141,2026-01-28,007810,코리아써키트,"이미 오른 것이 아니라, 이제 올라선 것 코리아써키트(007810) 이미 오른 것이 아니라, 이제 올라선 것 이미 오른 것이 아니라, 이제 올라선 것",82000,Buy,양승수,메리츠증권,68000.0,56600.0,-0.1676,0.3065,-0.4742,0.6902,0,0.2059,0.6902,0.6902,
646140,2026-01-28,007810,코리아써키트,"이미 오른 것이 아니라, 이제 올라선 것 코리아써키트(007810) 이미 오른 것이 아니라, 이제 올라선 것 이미 오른 것이 아니라, 이제 올라선 것",82000,Buy,양승수,메리츠증권,68000.0,56600.0,-0.1676,0.3065,-0.4742,0.6902,0,0.2059,0.6902,0.6902,
646134,2026-01-28,005930,삼성전자,Still ‘LONG’ 삼성전자(005930) Still ‘LONG’ Still ‘LONG’,260000,매수,한동희,SK증권,162400.0,254000.0,0.564,0.3065,0.2575,0.9769,0,0.601,0.9769,0.9769,
646133,2026-01-28,000660,SK하이닉스,Still ‘LONG’ SK하이닉스(000660) Still ‘LONG’ Still ‘LONG’,1500000,매수,한동희,SK증권,841000.0,1816000.0,1.1593,0.3065,0.8528,0.7893,1,0.7836,0.7893,0.7893,
646131,2026-01-28,064400,LG씨엔에스,올해부터 부각될 신사업 가치 LG씨엔에스(064400) 올해부터 부각될 신사업 가치 올해부터 부각될 신사업 가치,91000,매수,남효지,SK증권,69200.0,67000.0,-0.0318,0.3065,-0.3383,0.7363,0,0.315,0.7363,0.7363,
646121,2026-01-28,420770,기가비스,2027년을 향하는 시선 기가비스(420770) 2027년을 향하는 시선 2027년을 향하는 시선,65000,Buy,신희철,iM증권,55200.0,115600.0,1.0942,0.3065,0.7877,0.2215,1,0.1775,0.2215,0.2215,
646119,2026-01-28,336260,두산퓨얼셀,"미국 기대 유효, 국내는 부진 두산퓨얼셀(336260) 미국 기대 유효, 국내는 부진 미국 기대 유효, 국내는 부진",35000,Hold,한병화,유진투자증권,34750.0,30000.0,-0.1367,0.3065,-0.4432,0.8571,0,0.0072,0.8571,0.8571,
646116,2026-01-28,092730,네오팜,4Q25 Review: 수출 본격 시동 네오팜(092730) 4Q25 Review: 수출 본격 시동 4Q25 Review: 수출 본격 시동,24000,Buy,오린아,LS증권,18950.0,19300.0,0.0185,0.3065,-0.288,0.8042,0,0.2665,0.8042,0.8042,
646115,2026-01-28,028670,팬오션,4Q25 Preview: 지나치기엔 지나친 저평가 팬오션(028670) 4Q25 Preview: 지나치기엔 지나친 저평가 4Q25 Preview: 지나치기엔 지나친 저평가,6000,Buy,이재혁,LS증권,4690.0,5240.0,0.1173,0.3065,-0.1892,0.8733,0,0.2793,0.8733,0.8733,
646111,2026-01-27,352820,하이브,"전례 없는 투어 규모, 증명 중인 시스템 하이브(352820) 전례 없는 투어 규모, 증명 중인 시스템 전례 없는 투어 규모, 증명 중인 시스템",430000,Buy,김민영,메리츠증권,379000.0,212000.0,-0.4406,0.3158,-0.7564,0.493,0,0.1346,0.493,0.493,
646108,2026-01-27,011070,LG이노텍,"상반기는 Q, 하반기는 P LG이노텍(011070) 상반기는 Q, 하반기는 P 상반기는 Q, 하반기는 P",340000,Buy,양승수,메리츠증권,257500.0,625000.0,1.4272,0.3158,1.1114,0.1618,1,0.3204,0.1618,0.1618,
646106,2026-01-27,195870,해성디에스,"수익성, 다시 정상 궤도로 해성디에스(195870) 수익성, 다시 정상 궤도로 수익성, 다시 정상 궤도로",81000,Buy,양승수,메리츠증권,58300.0,49500.0,-0.1509,0.3158,-0.4667,0.6111,0,0.3894,0.6111,0.6111,
