pair_id,label,company,code,date,target,opinion,analyst,broker,acc365,gap_days,acc_diff,idx,title
38,hi,HD현대일렉트릭,267260,2025-01-21,560000,Buy,성종화,LS증권,0.4036,0,0.347,638297,4Q24 쇼크? 25년 이후 전선 이상 없다! HD현대일렉트릭(267260) 4Q24 쇼크? 25년 이후 전선 이상 없다! 4Q24 쇼크? 25
38,lo,HD현대일렉트릭,267260,2025-01-21,460000,매수,"김태현,박은명",IBK투자증권,0.0565,0,0.347,638301,증설 결정으로 실적 아쉬움 달래 HD현대일렉트릭(267260) 증설 결정으로 실적 아쉬움 달래 증설 결정으로 실적 아쉬움 달래
39,hi,롯데쇼핑,023530,2025-05-12,110000,Buy,이진협,한화투자증권,0.6209,0,0.345,641028,1Q25 Review : 자이언츠도 쇼핑도 잘해요 롯데쇼핑(023530) 1Q25 Review : 자이언츠도 쇼핑도 잘해요 1Q25 Review
39,lo,롯데쇼핑,023530,2025-05-12,88000,Buy,"이승은,김도엽",유안타증권,0.2761,0,0.345,641020,저평가 탈피 신호! 해외 성장 + 실적 모멘텀 롯데쇼핑(023530) 저평가 탈피 신호! 해외 성장 + 실적 모멘텀 저평가 탈피 신호! 해외 성
40,hi,JB금융지주,175330,2024-04-23,16500,Buy,우도형,IBK투자증권,0.9242,0,0.344,630271,1Q24 Review: 컨센서스 부합하는 실적 JB금융지주(175330) 1Q24 Review: 컨센서스 부합하는 실적 1분기 실적은 컨센서스 
40,lo,JB금융지주,175330,2024-04-23,12500,Hold,전배승,이베스트증권,0.58,0,0.344,630244,지방은행 최초 분기배당 실시 JB금융지주(175330) 지방은행 최초 분기배당 실시 지방은행 최초 분기배당 실시
41,hi,삼성화재,000810,2025-02-03,450000,Buy,조아해,메리츠증권,0.9078,1,0.341,638564,"구체화된 주주환원정책 삼성화재(000810) 구체화된 주주환원정책 타사대비 적을 변동성 주주환원정책 공시, 이후의 살펴볼 사안 자본활용 기대감"
41,lo,삼성화재,000810,2025-02-04,360000,Hold,김도하,한화투자증권,0.5667,1,0.341,638616,추정치 변동 없음 삼성화재(000810) 추정치 변동 없음 기업 가치 제고 계획(Value Up) 발표 추정치 변동을 야기할 만한 내용은 없었다
42,hi,삼성화재,000810,2025-02-03,450000,N/A,전배승,LS증권,0.9078,1,0.341,638560,보유 자사주 소각이 핵심 삼성화재(000810) 보유 자사주 소각이 핵심 보유 자사주 소각이 핵심
42,lo,삼성화재,000810,2025-02-04,360000,Hold,김도하,한화투자증권,0.5667,1,0.341,638616,추정치 변동 없음 삼성화재(000810) 추정치 변동 없음 기업 가치 제고 계획(Value Up) 발표 추정치 변동을 야기할 만한 내용은 없었다
43,hi,현대차,005380,2025-01-10,330000,매수,"윤혁진,박준형",SK증권,0.8909,3,0.341,637938,"우려는 충분, 긍정 편향 필요+엔비디아와 협력 현대차(005380) 우려는 충분, 긍정 편향 필요+엔비디아와 협력 우려는 충분, 긍정 편향 필요"
43,lo,현대차,005380,2025-01-13,280000,Buy,이재일,유진투자증권,0.55,3,0.341,637988,4Q24 Preview: 오히려 좋아 현대차(005380) 4Q24 Preview: 오히려 좋아 4Q24 Preview: 오히려 좋아
