label,file,pages,chars,hangul_ratio,images,quality,first_page_chars,num_density,formal_score,formal_score_1p,매출_추정,영업이익_추정,순이익_추정,분기_추정,추정연도_표기,목표주가_명시,투자의견_명시,업종대비_관점,추정치_조정명시,밸류에이션_배수,리스크_명시,가정_민감도,매출_추정__1p,영업이익_추정__1p,순이익_추정__1p,분기_추정__1p,추정연도_표기__1p,목표주가_명시__1p,투자의견_명시__1p,업종대비_관점__1p,추정치_조정명시__1p,밸류에이션_배수__1p,리스크_명시__1p,가정_민감도__1p
hi,삼성화재_000810_메리츠증권_조아해_2025-02-03_638564,7,11757,0.273,3,정상,2127,72.64,8,6,0,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,1,0,1,0,0,1,0,1
hi,솔루스첨단소재_336370_iM증권_정원석_2025-07-24_642652,6,10374,0.289,7,정상,2818,94.18,10,9,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
hi,신세계_004170_유진투자증권_이해니_2025-04-07_640084,6,11542,0.173,8,정상,1717,118.44,10,9,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0
hi,신세계_004170_한화투자증권_이진협_2025-02-06_638707,5,9632,0.232,1,정상,2064,100.19,9,9,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0
hi,에스엠_041510_한화투자증권_박수영_2024-05-08_630824,6,10689,0.24,2,정상,2006,101.41,9,9,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0
hi,"에코프로비엠_247540_하이투자증권_정원석,손우성_2024-08-01_633433",6,10992,0.269,7,정상,2919,101.98,11,10,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
hi,엔씨소프트_036570_SK증권_남효지_2024-02-13_627958,5,10783,0.19,17,정상,2163,113.42,9,9,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1
hi,엔씨소프트_036570_SK증권_남효지_2025-05-15_641139,5,9995,0.199,15,정상,2167,111.16,8,8,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0
hi,엔씨소프트_036570_대신증권_이지은_2024-02-13_627964,6,14045,0.211,15,정상,2726,101.32,10,9,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1
hi,엔씨소프트_036570_대신증권_이지은_2024-04-08_629636,6,13782,0.21,15,정상,2540,102.38,10,9,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1
hi,엔씨소프트_036570_상상인증권_최승호_2024-02-13_628013,4,9108,0.243,116,정상,1886,96.95,8,8,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0
hi,엔씨소프트_036570_유안타증권_이창영_2024-02-13_627992,6,12451,0.191,7,정상,2059,91.16,10,9,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0
hi,엔씨소프트_036570_유진투자증권_정의훈_2024-02-13_627918,6,10972,0.225,12,정상,1740,100.8,10,9,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0
hi,유한양행_000100_대신증권_이희영_2024-05-02_630636,7,12401,0.234,16,정상,2269,97.73,9,8,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1,0,0
hi,유한양행_000100_유진투자증권_권해순_2024-02-07_627865,6,12393,0.284,36,정상,1725,93.04,12,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1
hi,유한양행_000100_유진투자증권_권해순_2024-05-02_630697,7,12094,0.314,39,정상,1805,85.25,11,9,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1
hi,이마트_139480_한화투자증권_이진협_2024-05-17_631255,6,11747,0.209,2,정상,2145,100.79,10,9,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0
hi,이마트_139480_한화투자증권_이진협_2025-02-12_638898,6,12132,0.197,2,정상,2158,101.88,9,9,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0
hi,카카오게임즈_293490_유진투자증권_정의훈_2024-08-08_633749,7,10427,0.233,12,정상,1745,100.51,9,8,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0
hi,카카오뱅크_323410_유진투자증권_정의훈_2024-02-13_627922,8,11441,0.262,12,정상,1593,92.56,10,9,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1
hi,카카오뱅크_323410_한화투자증권_김도하_2024-02-07_627874,8,12273,0.255,19,정상,2018,111.87,8,6,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0
hi,카카오뱅크_323410_한화투자증권_김도하_2024-05-08_630831,8,12257,0.262,19,정상,2081,111.36,9,7,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0
hi,코리안리_003690_SK증권_설용진_2025-05-19_641194,5,10639,0.199,11,정상,2204,91.46,11,10,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
hi,펄어비스_263750_유진투자증권_정의훈_2024-05-13_631031,4,8923,0.206,12,정상,1612,109.6,10,9,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0
hi,풍산_103140_LS증권_안회수_2024-07-03_632558,5,11066,0.203,7,정상,2281,108.08,10,8,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0
hi,풍산_103140_LS증권_안회수_2024-07-03_632559,5,11066,0.203,7,정상,2281,108.08,10,8,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0
hi,한국가스공사_036460_LS증권_성종화_2024-08-12_633696,5,10556,0.239,2,정상,2139,94.83,10,8,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0
hi,"한국가스공사_036460_메리츠증권_문경원,윤동준_2024-08-12_633678",5,12501,0.191,2,정상,2289,89.51,8,6,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0
hi,한화_000880_한화투자증권_엄수진_2024-05-23_631462,9,13637,0.366,5,정상,2078,70.98,9,8,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0
hi,한화생명_088350_유안타증권_정태준_2024-02-26_628422,4,6675,0.288,5,정상,1828,79.7,11,10,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
hi,한화시스템_272210_LS증권_최정환_2025-07-31_642847,10,17939,0.256,23,정상,2142,77.54,11,9,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0
hi,현대건설_000720_메리츠증권_문경원_2024-10-23_635795,5,11679,0.193,2,정상,2253,91.36,8,8,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0
hi,현대건설_000720_유안타증권_장윤석_2024-07-22_633077,6,12993,0.198,7,정상,2133,95.21,10,10,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0
hi,현대차_005380_IBK투자증권_이현욱_2025-01-24_638442,6,12192,0.174,8,정상,2439,101.13,11,10,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
hi,현대차_005380_LS증권_이병근_2025-01-24_638469,6,14175,0.162,9,정상,2271,101.45,10,9,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0
hi,"현대차_005380_SK증권_윤혁진,박준형_2025-01-10_637938",7,13133,0.177,25,정상,2421,103.4,10,10,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
hi,"현대차_005380_SK증권_윤혁진,박준형_2025-01-24_638449",9,13214,0.255,27,정상,2381,85.36,11,10,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
hi,현대차_005380_iM증권_조희승_2025-01-09_637919,6,13560,0.202,6,정상,2791,98.97,10,9,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0
hi,현대차_005380_유안타증권_이현수_2025-01-24_638497,5,12559,0.195,6,정상,2282,89.58,10,9,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0
hi,현대차_005380_한화투자증권_김성래_2025-04-25_640662,7,13965,0.201,6,정상,2384,91.44,10,9,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0
hi,현대해상_001450_메리츠증권_조아해_2024-11-15_636702,6,10204,0.214,6,정상,2133,80.95,8,6,0,1,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,1
hi,현대해상_001450_한화투자증권_김도하_2025-05-15_641105,6,10403,0.251,7,정상,2233,94.59,9,9,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0
hi,호텔신라_008770_대신증권_유정현_2025-04-28_640723,5,11090,0.226,1,정상,2550,99.01,9,9,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0
lo,CJ_001040_SK증권_최관순_2024-07-15_632858,5,10485,0.196,13,정상,2150,98.9,8,8,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0
lo,DB손해보험_005830_LS증권_전배승_2025-05-15_641126,5,9138,0.234,7,정상,2197,101.23,10,8,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1
lo,DB손해보험_005830_SK증권_설용진_2025-05-15_641141,4,9477,0.194,9,정상,2284,97.71,11,10,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1
lo,DGB금융지주_139130_유안타증권_우도형_2025-02-11_638803,7,11321,0.213,8,정상,2033,91.86,10,9,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1
lo,DGB금융지주_139130_유안타증권_우도형_2025-02-11_638804,7,11321,0.213,8,정상,2033,91.86,10,9,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1
lo,GS건설_006360_iM증권_배세호_2025-04-10_640210,6,12677,0.191,13,정상,2571,103.97,11,11,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
lo,GS리테일_007070_한화투자증권_이진협_2025-05-12_641029,5,10244,0.232,3,정상,2129,98.01,10,10,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0
lo,"HD현대일렉트릭_267260_IBK투자증권_김태현,박은명_2025-01-21_638301",7,12730,0.19,9,정상,2396,113.43,9,8,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0
lo,HD현대일렉트릭_267260_SK증권_나민식_2025-04-07_640114,4,9106,0.196,9,정상,2134,119.15,9,9,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0
lo,HMM_011200_iM증권_배세호_2025-05-19_641176,11,17981,0.264,26,정상,2412,81.98,10,9,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1
lo,JB금융지주_175330_LS증권_전배승_2024-10-24_635828,4,7879,0.264,6,정상,2162,100.65,10,10,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0
lo,JB금융지주_175330_LS증권_전배승_2025-04-25_640659,4,7854,0.266,7,정상,2179,100.2,8,8,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0
lo,JB금융지주_175330_유안타증권_정태준_2024-02-07_627846,4,8961,0.246,5,정상,1979,94.41,8,7,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0
lo,JB금융지주_175330_이베스트증권_전배승_2024-04-23_630244,4,7750,0.275,16,정상,2060,100.13,8,8,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0
lo,KCC_002380_LS증권_정경희_2025-07-04_642204,7,8463,0.241,16,정상,2218,83.54,8,7,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0
lo,LG에너지솔루션_373220_LS증권_정경희_2025-04-10_640218,14,20435,0.168,91,정상,74,92.59,6,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
lo,"LG유플러스_032640_메리츠증권_정지수,박건영_2025-04-14_640328",6,13457,0.174,4,정상,2271,97.05,8,7,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0
lo,LG화학_051910_LS증권_정경희_2025-04-15_640366,4,8201,0.226,7,정상,2012,87.06,9,8,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0
lo,LG화학_051910_LS증권_정경희_2025-05-02_640824,5,9956,0.268,8,정상,2056,76.64,10,9,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0
lo,LG화학_051910_유안타증권_황규원_2025-02-04_638652,10,33557,0.149,15,정상,2293,88.63,11,9,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
lo,LS_006260_SK증권_최관순_2025-02-13_638927,5,9753,0.201,16,정상,2103,110.33,8,8,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0
