label,analyst,broker,sector,award,both_awards,date,company,code,opinion,subtitle,target,price_then,pid
award_winner,백재승,삼성증권,철강·금속,한경,,2026-07-02,BGF리테일,282330,매수,시장 지위 확대와 수익성 개선 간 균형을 맞추는 중,175000,125000,825116
award_winner,백재승,삼성증권,철강·금속,한경,,2026-07-02,GS리테일,007070,매수,전략 변화로 시현된 영업 레버리지 효과,30000,24750,825115
award_winner,백재승,삼성증권,철강·금속,한경,,2026-07-02,이마트,139480,매수,"반가운 본업 개선, 향후 value unlocking 필요성 커질 것",120000,79800,825114
award_winner,백재승,삼성증권,철강·금속,한경,,2026-07-02,현대백화점,069960,매수,백화점 사업의 실적 업그레이드 구간,250000,118800,825113
award_winner,백재승,삼성증권,철강·금속,한경,,2026-07-02,롯데쇼핑,023530,매수,"백화점도 좋은데, 마트도 좋아진다",230000,117300,825112
award_winner,백재승,삼성증권,철강·금속,한경,,2026-07-02,신세계,004170,매수,실적 증가와 valuation 상승이 동시에 가능한 환경,970000,423000,825111
award_winner,백재승,삼성증권,철강·금속,한경,,2026-06-29,고려아연,010130,Not Rated,"실적은 귀금속에, 실적 외는 경영권 분쟁에 각각 주목",0,999000,824835
award_winner,백재승,삼성증권,철강·금속,한경,,2026-06-29,풍산,103140,매수,방산사업을 둘러싼 불확실성 해소가 우선,95000,71200,824834
award_winner,백재승,삼성증권,철강·금속,한경,,2026-06-29,세아베스틸지주,001430,매수,신규 공장 가동률 추세 중요할 것,50000,33300,824833
award_winner,백재승,삼성증권,철강·금속,한경,,2026-06-29,현대제철,004020,매수,상반기보다 하반기 실적 개선을 더 기대,44000,26350,824832
award_winner,백재승,삼성증권,철강·금속,한경,,2026-06-29,POSCO홀딩스,005490,매수,실적 모멘텀을 토대로 기업 선별 필요할 것,480000,312500,824831
award_winner,백재승,삼성증권,철강·금속,한경,,2026-05-14,이마트,139480,매수,반가운 본업 실적 개선세,152000,79800,822064
award_winner,백재승,삼성증권,철강·금속,한경,,2026-05-13,신세계,004170,매수,"백화점은 매출 성장, 면세업은 수익 회복",565000,423000,821855
award_winner,백재승,삼성증권,철강·금속,한경,,2026-05-11,롯데쇼핑,023530,매수,회복이 아니라 성장 중인 백화점,185000,117300,821690
award_winner,백재승,삼성증권,철강·금속,한경,,2026-05-08,BGF리테일,282330,매수,2분기 일회성 비용도 극복할 매출 회복세,175000,125000,821254
award_winner,백재승,삼성증권,철강·금속,한경,,2026-05-08,GS리테일,007070,매수,수익성 중심 전략의 결과물 가시화,30000,24750,821253
award_winner,백재승,삼성증권,철강·금속,한경,,2026-05-04,POSCO홀딩스,005490,매수,철강과 리튬 모두 바닥을 벗어나는 중,540000,312500,820584
award_winner,백재승,삼성증권,철강·금속,한경,,2026-05-04,포스코인터내셔널,047050,매수,우호적 영업 환경과 갖춰진 역량,104000,52200,820583
award_winner,백재승,삼성증권,철강·금속,한경,,2026-05-04,풍산,103140,매수,"상반기는 구리, 하반기는 방산",140000,71200,820581
award_winner,백재승,삼성증권,철강·금속,한경,,2026-04-30,LX인터내셔널,001120,매수,아직 유효한 단기 실적 모멘텀,67000,37400,820256
award_winner,백재승,삼성증권,철강·금속,한경,,2026-04-30,세아베스틸지주,001430,매수,본업 실적 개선 기대,87000,33300,820255
award_winner,백재승,삼성증권,철강·금속,한경,,2026-04-27,호텔신라,008770,매수,수익성 추구 전략이 빛을 발하는 순간!,74000,43550,819725
award_winner,백재승,삼성증권,철강·금속,한경,,2026-04-27,현대제철,004020,매수,지나간 실적 부진보다 다가올 실적 개선이 더 중요,51000,26350,819724
award_winner,백재승,삼성증권,철강·금속,한경,,2026-04-23,SK네트웍스,001740,매수,"반가운 본업 실적 개선, 일부 투자자산 가치도 기대",6400,7320,819490
award_winner,백재승,삼성증권,철강·금속,한경,,2026-04-20,호텔신라,008770,매수,할인율 축소를 통한 수익성 개선 조짐,63000,43550,819137
award_winner,백재승,삼성증권,철강·금속,한경,,2026-04-20,BGF리테일,282330,매수,안정적 실적 흐름 지속 중,170000,125000,819136
award_winner,백재승,삼성증권,철강·금속,한경,,2026-04-20,GS리테일,007070,매수,안정적인 실적 국면 진입,28500,24750,819135
award_winner,백재승,삼성증권,철강·금속,한경,,2026-04-20,이마트,139480,매수,경쟁 완화가 조금씩 실적으로 표현될 것,152000,79800,819134
award_winner,백재승,삼성증권,철강·금속,한경,,2026-04-20,롯데쇼핑,023530,매수,백화점이 이끄는 호실적 흐름,160000,117300,819133
award_winner,백재승,삼성증권,철강·금속,한경,,2026-04-20,신세계,004170,매수,우호적 환경으로 돋보이는 백화점 매출 증가세,485000,423000,819132
award_winner,백재승,삼성증권,철강·금속,한경,,2026-04-14,세아베스틸지주,001430,매수,"조금씩 개선될 본업, 조금씩 가시화될 신사업",78500,33300,818595
award_winner,백재승,삼성증권,철강·금속,한경,,2026-04-14,풍산,103140,매수,Management risk 완화 필요,140000,71200,818594
award_winner,백재승,삼성증권,철강·금속,한경,,2026-04-14,현대제철,004020,매수,"아쉬운 1분기 실적, 2분기부터 만회 기대",47000,26350,818593
award_winner,백재승,삼성증권,철강·금속,한경,,2026-04-14,POSCO홀딩스,005490,매수,철강과 리튬 사업 모두 점차 좋아질 것,450000,312500,818592
award_winner,백재승,삼성증권,철강·금속,한경,,2026-04-01,LX인터내셔널,001120,매수,석탄 가격 상승으로 단기 실적 모멘텀 존재,56000,37400,817542
award_winner,백재승,삼성증권,철강·금속,한경,,2026-03-18,포스코인터내셔널,047050,매수,"안정적인 기존 사업, 기대되는 신사업",88000,52200,817008
award_winner,백재승,삼성증권,철강·금속,한경,,2026-02-12,이마트,139480,매수,조금씩 우호적으로 변화 중인 경쟁 환경,152000,79800,815385
award_winner,백재승,삼성증권,철강·금속,한경,,2026-02-12,풍산,103140,매수,"올해 가이던스 다소 아쉽지만, valuation 매력 존재",167000,71200,815383
award_winner,백재승,삼성증권,철강·금속,한경,,2026-02-11,BGF리테일,282330,매수,안정적 이익 체력 유지,162000,125000,815196
award_winner,박상준,키움증권,음식료·담배,한경,Y,2026-07-21,CJ프레시웨이,051500,매수유지,2Q26 Preview,39000,22550,836527
award_winner,박상준,키움증권,음식료·담배,한경,Y,2026-07-21,롯데칠성음료,005300,매수유지,2Q26 Preview,170000,101000,836523
award_winner,박상준,키움증권,음식료·담배,한경,Y,2026-07-21,하이트진로,000080,매수유지,2Q26 Preview,23000,15400,836520
award_winner,박상준,키움증권,음식료·담배,한경,Y,2026-07-21,롯데웰푸드,280360,매수유지,2Q26 Preview,170000,103000,836518
award_winner,박상준,키움증권,음식료·담배,한경,Y,2026-07-21,농심,004370,매수유지,2Q26 Preview,540000,383000,836514
award_winner,박상준,키움증권,음식료·담배,한경,Y,2026-07-21,CJ제일제당,097950,매수유지,2Q26 Preview,310000,191400,836512
award_winner,박상준,키움증권,음식료·담배,한경,Y,2026-07-21,삼양식품,003230,매수유지,2Q26 Preview,1850000,1168000,836511
award_winner,박상준,키움증권,음식료·담배,한경,Y,2026-07-21,케이티앤지,033780,매수유지,2Q26 Preview,220000,179100,836509
award_winner,박상준,키움증권,음식료·담배,한경,Y,2026-07-15,이마트,139480,매수유지,2Q26 Preview,120000,79800,836197
