pair_id,label,company,code,date,analysts,broker,opinion,target,price_then,gap_days,pid,report_url
32,control,케이티앤지,033780,2026-07-21,"손현정,김고은",유안타증권,매수유지,250000,179100,0,836489,https://www.equity.co.kr/research/researchPop.do?P_ID=836489
33,winner,케이티앤지,033780,2026-07-15,최고운,한국투자증권,매수유지,230000,179100,0,836155,https://www.equity.co.kr/research/researchPop.do?P_ID=836155
33,control,케이티앤지,033780,2026-07-15,"심은주,고찬결",하나증권,매수유지,210000,179100,0,836109,https://www.equity.co.kr/research/researchPop.do?P_ID=836109
34,winner,코스맥스,192820,2026-07-06,"박종대,양정석",하나증권,매수유지,240000,184700,0,825234,https://www.equity.co.kr/research/researchPop.do?P_ID=825234
34,control,코스맥스,192820,2026-07-06,김명주,한국투자증권,매수유지,270000,184700,0,825266,https://www.equity.co.kr/research/researchPop.do?P_ID=825266
35,winner,코스맥스,192820,2026-06-09,박종대,하나증권,매수,240000,184700,0,823930,https://www.equity.co.kr/research/researchPop.do?P_ID=823930
35,control,코스맥스,192820,2026-06-09,오린아,LS증권,매수유지,250000,184700,0,823955,https://www.equity.co.kr/research/researchPop.do?P_ID=823955
36,winner,풍산,103140,2026-05-04,"백재승,최승환",삼성증권,매수,140000,71200,0,820581,https://www.equity.co.kr/research/researchPop.do?P_ID=820581
36,control,풍산,103140,2026-05-04,권지우,한화투자증권,매수유지,147000,71200,0,820703,https://www.equity.co.kr/research/researchPop.do?P_ID=820703
37,winner,풍산,103140,2026-05-04,"박성봉,김승규",하나증권,매수유지,160000,71200,0,820552,https://www.equity.co.kr/research/researchPop.do?P_ID=820552
37,control,풍산,103140,2026-05-04,이정우,다올투자증권,매수유지,160000,71200,0,820688,https://www.equity.co.kr/research/researchPop.do?P_ID=820688
38,winner,현대건설,000720,2026-08-03,"장문준,강민창",KB증권,매수유지,170000,94600,0,837850,https://www.equity.co.kr/research/researchPop.do?P_ID=837850
38,control,현대건설,000720,2026-08-03,김승준,하나증권,매수유지,135000,94600,0,837853,https://www.equity.co.kr/research/researchPop.do?P_ID=837853
39,winner,현대건설,000720,2026-07-20,"문경원,이동석",메리츠증권,매수,176000,94600,0,836351,https://www.equity.co.kr/research/researchPop.do?P_ID=836351
39,control,현대건설,000720,2026-07-20,이상호,교보증권,매수유지,180000,94600,0,836378,https://www.equity.co.kr/research/researchPop.do?P_ID=836378
